,no_neurons,electrode,correlation_coeff,inh_type,exc_type
511,100,5,-0.019980701452183305,FS,LTS
512,100,6,-0.02035516847192618,FS,LTS
513,100,7,-0.04117408183718407,FS,LTS
514,100,8,0.011023202945281278,FS,LTS
515,100,9,-0.03276485266312745,FS,LTS
516,100,10,-0.00838068827605599,FS,LTS
517,100,11,0.027287348646353154,FS,LTS
518,100,12,0.005016819641285862,FS,LTS
519,100,13,-0.009005684725770395,FS,LTS
520,100,14,0.0033997023928914877,FS,LTS
521,100,15,-0.0022650419286660865,FS,LTS
522,100,16,0.0050326353420015344,FS,LTS
523,100,17,0.0032769663172520867,FS,LTS
524,100,18,0.011059906283139763,FS,LTS
525,100,19,-0.007842061307354917,FS,LTS
526,100,20,-0.020919755479654155,FS,LTS
